price,brand,mile,old,engine,gear,seat,province,colour,fuel,post
5450000.0,"Audi,Q8",7500.0,2,2995,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
469000.0,"Isuzu,D-Max",27500.0,4,1898,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
379000.0,"Toyota,Hilux",97500.0,7,2982,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
229000.0,"Mitsubishi,Mirage",137500.0,7,1193,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
229000.0,"Mitsubishi,Mirage",137500.0,7,1193,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
1290000.0,"Mercedes-Benz,C180",92500.0,5,1595,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
1090000.0,"Mercedes-Benz,GLA200",97500.0,5,1595,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
1690000.0,"BMW,525d",82500.0,5,1995,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
309000.0,"Toyota,Vios",109648.0,7,1497,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
399000.0,"Toyota,Corolla",2500.0,6,1798,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
758999.0,"Toyota,Camry",2500.0,4,2494,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
1599999.0,"BMW,M6",52500.0,14,4999,A,4,กรุงเทพและปริมณฑล,ดำ,Petrol,0
279000.0,"Nissan,Almera",122500.0,4,1198,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
2890000.0,"Toyota,Alphard",2500.0,0,2494,A,7,กรุงเทพและปริมณฑล,เทา,Petrol,0
9500000.0,"Bentley,Continental",32500.0,7,5998,A,4,กรุงเทพและปริมณฑล,ขาว,Petrol,0
428000.0,"Isuzu,D-Max",79510.0,5,2499,M,2,กรุงเทพและปริมณฑล,ดำ,Diesel,0
958000.0,"Isuzu,MU-X",77400.0,2,2999,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
479000.0,"Toyota,Hilux",2500.0,4,2393,M,2,กรุงเทพและปริมณฑล,เงิน,Diesel,0
428000.0,"Isuzu,D-Max",79510.0,5,2499,M,2,กรุงเทพและปริมณฑล,ดำ,Diesel,0
958000.0,"Isuzu,MU-X",77400.0,2,2999,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
479000.0,"Toyota,Hilux",2500.0,4,2393,M,2,กรุงเทพและปริมณฑล,เงิน,Diesel,0
749000.0,"Toyota,C-HR",52500.0,2,1798,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
